REFDES,DEVICE,VALUE,SOURCE,P/N
C1,"CAPACITOR 0805",10uf,Digi-Key,1276-2891-1-ND
C2,"CAPACITOR 0805",10uf,Digi-Key,1276-2891-1-ND
C4,"CAPACITOR 0805",10uf,Digi-Key,1276-2891-1-ND
C3,"CAPACITOR 0603",0.1uf,Mouser,80-C0603C104M4R
C5,"CAPACITOR 0603",0.1uf,Mouser,81-C0603C104M4R
C6,"CAPACITOR 0603",0.1uf,Mouser,82-C0603C104M4R
C9,"CAPACITOR 0603",33pf,Mouser,77-VJ0603A330JXACBC
C10,"CAPACITOR 0603",33pf,Mouser,77-VJ0603A330JXACBC
CONN1,"Generic 12 Position Unshrouded 2.54mm Header",,,
CONN2,"Generic 12 Position Unshrouded 2.54mm Header",,,
CONN3,"Generic 5 Position Unshrouded 2.54mm Header",,,
L1,"FERRITE BEAD 0603","2k5 50ma",Digi-Key,490-1028-1-ND
LED1,"LED 0805",,,
LED2,"LED 0805",,,
R2,"RESISTOR 0603","330 ohm",,
R3,"RESISTOR 0603","330 ohm",,
R7,"RESISTOR 0603",10k,,
S1,"TACT SWITCH",,Mouser,611-KMR241NGULCLFS
U1,"STM32F030F4P6 TSSOP20",,Digi-Key,"497-14044-5-ND "
U2,"MCP1802 SOT-23-5",,Digi-Key,MCP1802T-3302I/OTCT-ND
X1,"CRYSTAL 5x3.2mm","8 MHz",Digi-Key,887-1448-1-ND
